temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
25.76875,31.4,14.64375,84.0625,159.1,80.6875,100.0,78.92,78.92,1,0,0
23.125,33.8,12.275,17.1875,0.0,43.5,0.0,80.6,80.6,1,0,0
22.431250000000002,30.5,11.868750000000002,28.625,0.1,62.3125,6.25,69.74,69.74,0,0,0
20.25625,30.3,12.431250000000002,14.1875,0.0,43.8125,0.0,43.83,43.83,0,0,0
25.818749999999998,31.5,17.56875,87.5625,186.7,84.5625,100.0,65.79,65.79,0,0,0
32.19375,40.5,16.118750000000002,17.0,0.0,21.5625,0.0,67.56,67.56,0,0,0
22.549999999999994,29.6,12.337499999999999,44.8125,0.4,58.25,6.25,95.03,95.03,6,1,1
28.2625,35.3,17.1125,75.5,75.2,68.125,81.25,44.04,44.04,0,0,0
27.2875,38.7,13.656249999999998,20.5,0.4,33.5,6.25,73.42,73.42,1,0,0
22.6375,32.8,13.3,18.5,0.0,42.75,0.0,36.18,36.18,0,0,0
25.5875,30.6,16.86875,84.9375,136.29999999999998,81.6875,87.5,100.0,100.0,6,1,1
25.968750000000004,34.7,13.337499999999999,13.625,0.6,45.4375,12.5,86.22,86.22,4,1,0
26.468750000000004,32.6,13.225000000000001,70.25,71.80000000000001,80.875,93.75,100.0,100.0,6,1,1
24.087500000000002,30.6,12.68125,59.8125,4.4,62.125,31.25,100.0,100.0,6,1,1
27.168750000000003,34.5,18.85,93.9375,125.39999999999999,76.25,100.0,54.02,54.02,0,0,0
25.6125,31.3,16.3625,94.5625,138.2,83.8125,93.75,68.97,68.97,0,0,0
24.95625,32.2,11.243750000000002,42.0625,0.1,55.375,6.25,85.48,85.48,4,1,0
29.931249999999988,39.2,22.406249999999996,86.75,44.4,60.25,62.5,56.59,56.59,0,0,0
24.056249999999995,32.2,14.837499999999999,35.0,3.6000000000000005,58.0625,56.25,91.56,91.56,4,1,1
27.700000000000003,35.6,14.462500000000002,80.4375,181.1,73.1875,81.25,61.11,61.11,0,0,0
34.18125,44.3,21.799999999999997,40.9375,10.2,40.0625,50.0,28.58,28.58,0,0,0
19.799999999999997,31.2,11.725,11.875,0.0,46.125,0.0,2.63,2.63,0,0,0
23.50625,31.2,10.918750000000001,25.3125,0.7,61.8125,18.75,98.83,98.83,6,1,1
24.725,32.0,11.3625,30.0,0.0,49.375,0.0,84.67,84.67,1,0,0
25.656250000000004,32.1,16.13125,87.3125,196.8,84.75,100.0,99.89,99.89,6,1,1
28.531249999999996,38.1,15.20625,15.125,0.0,29.75,0.0,40.66,40.66,0,0,0
24.418750000000003,29.5,11.73125,74.5,167.70000000000002,87.5625,100.0,60.64,60.64,0,0,0
33.768750000000004,44.0,14.71875,30.25,0.5,26.9375,12.5,18.18,18.18,0,0,0
22.587500000000002,30.3,10.6,31.0625,0.1,56.5,6.25,87.24,87.24,4,1,0
26.5,32.1,11.125,56.0,67.80000000000001,79.5625,75.0,100.0,100.0,6,1,1
37.23125,44.4,17.987500000000004,16.875,0.0,20.0,0.0,15.23,15.23,0,0,0
26.95,32.5,11.868749999999999,81.3125,131.10000000000002,83.9375,93.75,95.64,95.64,6,1,1
36.31249999999999,44.5,20.65625,40.625,5.1,27.8125,6.25,46.03,46.03,0,0,0
32.837500000000006,42.0,16.668750000000003,25.8125,15.800000000000002,34.9375,43.75,47.54,47.54,0,0,0
27.031250000000004,38.9,13.006250000000001,9.6875,0.7,39.5625,6.25,60.12,60.12,0,0,0
19.918750000000003,28.5,10.662499999999998,4.3125,1.4,62.4375,12.5,74.13,74.13,1,0,0
36.14375,44.3,16.91875,37.0,0.0,25.9375,0.0,49.07,49.07,0,0,0
29.906250000000007,37.9,12.899999999999997,22.875,1.0000000000000002,46.4375,31.25,56.74,56.74,0,0,0
19.10625,28.9,11.274999999999999,8.3125,0.0,47.5625,0.0,26.82,26.82,0,0,0
23.2875,30.0,10.08125,27.25,0.0,65.5,0.0,93.76,93.76,4,1,1
19.868750000000002,28.3,10.774999999999999,5.0,1.4,62.375,12.5,74.81,74.81,1,0,0
26.26875,30.7,15.318750000000001,90.6875,158.6,86.0,100.0,98.05,98.05,6,1,1
34.725,42.8,20.437500000000004,20.875,0.5,31.375,12.5,43.61,43.61,0,0,0
30.9375,40.8,14.712499999999999,44.5,7.499999999999999,36.0,37.5,48.63,48.63,0,0,0
27.41875,36.9,14.95625,11.875,11.4,39.0625,18.75,57.07,57.07,0,0,0
26.249999999999996,35.7,16.874999999999996,31.8125,0.0,30.8125,0.0,52.13,52.13,0,0,0
31.331249999999997,42.2,22.7375,52.375,37.300000000000004,52.125,68.75,25.55,25.55,0,0,0
23.2875,31.1,14.568750000000001,47.6875,0.8,54.5625,6.25,84.4,84.4,1,0,0
29.20625,41.5,20.318749999999998,45.8125,3.7,51.1875,37.5,34.66,34.66,0,0,0
24.68125,35.7,12.968749999999998,30.9375,0.0,41.875,0.0,59.07,59.07,0,0,0
25.35625,32.9,14.068750000000001,66.625,6.300000000000001,60.375,37.5,80.59,80.59,1,0,0
22.8875,31.1,14.349999999999998,39.6875,0.8,53.375,6.25,82.3,82.3,1,0,0
28.018750000000004,37.1,24.7875,57.5625,84.79999999999997,67.4375,81.25,0.57,0.57,0,0,0
24.599999999999998,31.3,15.55625,43.6875,5.1000000000000005,64.0625,56.25,94.31,94.31,4,1,1
25.537499999999998,30.2,27.11875000000001,78.0625,41.199999999999996,78.4375,100.0,25.88,25.88,0,0,0
24.618750000000002,31.2,19.156250000000004,87.5625,114.0,80.125,100.0,86.07,86.07,4,1,1
24.5375,30.0,23.593750000000004,78.8125,102.7,80.1875,81.25,97.79,97.79,6,1,1
24.387500000000003,29.8,11.012500000000001,45.0,51.800000000000004,79.375,75.0,100.0,100.0,6,1,1
31.0,40.5,23.325,15.0,0.0,42.9375,0.0,40.87,40.87,0,0,0
31.037499999999998,40.5,23.556250000000002,14.9375,0.0,43.375,0.0,40.68,40.68,0,0,0
28.106250000000003,35.8,15.0375,14.5,0.0,29.5625,0.0,68.08,68.08,0,0,0
31.712500000000002,41.4,23.975,7.875,0.0,39.75,0.0,5.45,5.45,0,0,0
23.79375,33.6,15.818750000000001,11.3125,0.1,46.1875,6.25,69.24,69.24,0,0,0
20.193749999999998,28.0,12.19375,25.5625,2.8,68.75,37.5,79.27,79.27,1,0,0
22.418750000000003,28.4,10.6625,55.125,2.6999999999999997,66.875,25.0,86.69,86.69,4,1,0
24.050000000000004,31.4,19.756249999999998,96.0625,168.70000000000002,86.375,100.0,21.69,21.69,0,0,0
23.056249999999995,28.5,16.799999999999997,89.125,140.49999999999997,87.1875,93.75,87.58,87.58,4,1,1
23.925,30.3,12.106250000000001,67.9375,15.7,65.1875,50.0,81.66,81.66,1,0,0
19.625,30.8,11.162500000000001,11.6875,0.1,56.4375,6.25,71.92,71.92,1,0,0
20.5625,26.3,12.46875,54.6875,66.80000000000001,81.25,62.5,82.37,82.37,1,0,0
22.30625,29.5,10.35,15.1875,0.0,55.8125,0.0,82.3,82.3,1,0,0
29.187499999999993,37.5,14.950000000000001,22.1875,0.0,44.9375,0.0,43.16,43.16,0,0,0
28.24375,37.6,15.968749999999998,33.125,6.7,41.8125,43.75,42.44,42.44,0,0,0
22.625,29.3,12.506250000000001,91.875,167.89999999999998,88.8125,93.75,99.65,99.65,6,1,1
28.0625,37.6,16.98125,21.0,1.9,59.125,18.75,25.32,25.32,0,0,0
30.18125,40.2,18.262500000000003,14.3125,15.8,39.875,18.75,29.96,29.96,0,0,0
24.25625,31.3,14.64375,74.125,156.10000000000002,85.5625,100.0,26.92,26.92,0,0,0
27.1625,36.0,13.474999999999998,25.4375,3.4000000000000004,37.25,18.75,57.98,57.98,0,0,0
22.000000000000004,30.4,11.506249999999998,26.9375,0.0,49.0,0.0,75.59,75.59,1,0,0
18.8375,26.1,10.181249999999999,18.375,0.0,57.75,0.0,82.81,82.81,1,0,0
